Company,TypeName,Inches,ScreenResolution,Ram,Gpu,OpSys,Weight,Price_euros,SSD,HDD,Hybrid,Flash_Storage,Cpu_brand,Cpu_speed,price_per_inch
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,8,Intel Iris Plus Graphics 640,macOS,1.37,1339.69,128,0,0,0,Intel Core i5,2.3,100.72857142857144
Apple,Ultrabook,13.3,1440x900,8,Intel HD Graphics 6000,macOS,1.34,898.94,0,0,0,128,Intel Core i5,1.8,67.58947368421053
HP,Notebook,15.6,Full HD 1920x1080,8,Intel HD Graphics 620,No OS,1.86,575.0,256,0,0,0,Intel Core i5 7200U,2.5,36.85897435897436
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,16,AMD Radeon Pro 455,macOS,1.83,2537.45,512,0,0,0,Intel Core i7,2.7,164.7694805194805
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,8,Intel Iris Plus Graphics 650,macOS,1.37,1803.6,256,0,0,0,Intel Core i5,3.1,135.60902255639095
Acer,Notebook,15.6,1366x768,4,AMD Radeon R5,Windows 10,2.1,400.0,0,500,0,0,AMD A9-Series 9420,3.0,25.64102564102564
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,16,Intel Iris Pro Graphics,Mac OS X,2.04,2139.97,0,0,0,256,Intel Core i7,2.2,138.9590909090909
Apple,Ultrabook,13.3,1440x900,8,Intel HD Graphics 6000,macOS,1.34,1158.7,0,0,0,256,Intel Core i5,1.8,87.1203007518797
Asus,Ultrabook,14.0,Full HD 1920x1080,16,Nvidia GeForce MX150,Windows 10,1.3,1495.0,512,0,0,0,Intel Core i7 8550U,1.8,106.78571428571428
Acer,Ultrabook,14.0,IPS Panel Full HD 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.6,770.0,256,0,0,0,Intel Core i5 8250U,1.6,55.0
HP,Notebook,15.6,1366x768,4,Intel HD Graphics 620,No OS,1.86,393.9,0,500,0,0,Intel Core i5 7200U,2.5,25.25
HP,Notebook,15.6,Full HD 1920x1080,4,Intel HD Graphics 520,No OS,1.86,344.99,0,500,0,0,Intel Core i3 6006U,2.0,22.11474358974359
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,16,AMD Radeon Pro 555,macOS,1.83,2439.97,256,0,0,0,Intel Core i7,2.8,158.43961038961038
Dell,Notebook,15.6,Full HD 1920x1080,4,AMD Radeon R5 M430,Windows 10,2.2,498.9,256,0,0,0,Intel Core i3 6006U,2.0,31.98076923076923
Apple,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,8,Intel HD Graphics 615,macOS,0.92,1262.4,256,0,0,0,Intel Core M m3,1.2,105.2
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,8,Intel Iris Plus Graphics 640,macOS,1.37,1518.55,256,0,0,0,Intel Core i5,2.3,114.1766917293233
Dell,Notebook,15.6,Full HD 1920x1080,8,AMD Radeon R5 M430,Windows 10,2.2,745.0,256,0,0,0,Intel Core i7 7500U,2.7,47.756410256410255
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,16,AMD Radeon Pro 560,macOS,1.83,2858.0,512,0,0,0,Intel Core i7,2.9,185.5844155844156
Lenovo,Notebook,15.6,Full HD 1920x1080,8,Nvidia GeForce 940MX,No OS,2.2,499.0,0,1024,0,0,Intel Core i3 7100U,2.4,31.98717948717949
Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.22,979.0,128,0,0,0,Intel Core i5 8250U,1.6,73.60902255639097
Asus,Netbook,11.6,1366x768,2,Intel HD Graphics 400,Windows 10,0.98,191.9,0,0,0,32,Intel Atom x5-Z8350,1.44,16.543103448275865
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,2.5,999.0,128,1024,0,0,Intel Core i5 7300HQ,2.5,64.03846153846153
HP,Notebook,15.6,1366x768,4,AMD Radeon R2,No OS,1.86,258.0,0,500,0,0,AMD E-Series E2-9000e,1.5,16.53846153846154
Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.62,819.0,256,0,0,0,Intel Core i5 8250U,1.6,61.57894736842105
HP,Ultrabook,15.6,Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.91,659.0,256,0,0,0,Intel Core i7 8550U,1.8,42.24358974358975
Dell,Notebook,15.6,1366x768,4,Intel HD Graphics 520,Windows 10,2.3,418.64,0,1024,0,0,Intel Core i3 6006U,2.0,26.83589743589744
Apple,Ultrabook,13.3,1440x900,8,Intel HD Graphics 6000,Mac OS X,1.35,1099.0,0,0,0,128,Intel Core i5,1.6,82.63157894736841
Dell,Notebook,15.6,Full HD 1920x1080,8,AMD Radeon 530,Windows 10,2.2,800.0,256,0,0,0,Intel Core i5 8250U,1.6,51.282051282051285
Dell,Ultrabook,15.6,Full HD 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.88,1298.0,512,0,0,0,Intel Core i7 8650U,1.9,83.2051282051282
HP,Notebook,17.3,Full HD 1920x1080,8,Nvidia GeForce 930MX,Windows 10,2.5,896.0,0,1024,0,0,Intel Core i5 8250U,1.6,51.79190751445086
Chuwi,Notebook,15.6,Full HD 1920x1080,4,Intel HD Graphics,Windows 10,1.89,244.99,0,0,0,64,Intel Atom x5-Z8300,1.44,15.70448717948718
Asus,Notebook,14.0,1366x768,2,AMD Radeon R2,Windows 10,1.65,199.0,0,0,0,32,AMD E-Series E2-6110,1.5,14.214285714285714
HP,Notebook,17.3,Full HD 1920x1080,4,AMD Radeon 530,Windows 10,2.71,439.0,0,500,0,0,AMD A6-Series 9220,2.5,25.3757225433526
Dell,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,16,Intel UHD Graphics 620,Windows 10,1.2,1869.0,512,0,0,0,Intel Core i7 8550U,1.8,140.52631578947367
Apple,Ultrabook,13.3,1440x900,8,Intel HD Graphics 6000,Mac OS X,1.35,998.0,0,0,0,256,Intel Core i5,1.6,75.0375939849624
Lenovo,Notebook,14.0,1366x768,4,Intel HD Graphics 500,Windows 10,1.44,249.0,0,0,0,64,Intel Celeron Dual Core N3350,1.1,17.785714285714285
